Id,Name,,Nat,Glider,Harnesses,Sponsor,Team,Club,Fed.,T 1,T 2,T 3,T 4,T 5,T 6,T 7,Total,
18,23359,EDUARDO VARGAS PEIRAO,M,BRA,Ozone Zeno 2 - Azul e amarelo,Sol Cx Max,"CK, LAMON, SANTA COSTA, AP1R",Equipe SC,APIR - ASSOCIAÇÃO DE PARAPENTE DE ITAJAÍ E REGIÃO,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,131.2/544.1,339.9,899.6,706.4,774.2,948.6,908.4,4368.4
19,15570,DASANYHEV DE SOUZA CARDOSO,M,BRA,Ozone Zeno 2 - Amarelo,Woody Valley XR7,*,Capixaba Team,AVLAC - ASSOCIAÇÃO DE VOO LIVRE DE ALFREDO CHAVES,FCVL - FEDERAÇÃO CAPIXABA DE VOO LIVRE,876.2,787.9,137.3,936.6,52.4/199.1,963.8,743.4,4360.3
20,12414,TONY CESAR MENDES NEGREIROS,M,BRA,Niviuk XOne - Amarelo,Ozone Submarine,Mi,,CVLSL - CLUBE DE VOO LIVRE DE SÃO LOURENÇO,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,590.3,91.1/359.0,965.6,0.0,839.2,965.4,839.6,4291.2
21,12446,DOUGLAS DALLABONA,M,BRA,Niviuk XOne - PRETO,Gin Genie Race 4,WDF VENDAS - PSICÓLOGA FRANCIELLE HARTMANN - VORTEX PARAGLIDERS,Vortex Racing Team,TCVL - TIMBÓ CLUBE DE VOO LIVRE,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,575.2,831.4,874.2,933.7,59.1/231.8,957.1,22.3,4230.7
22,14866,ELISA PEREIRA EISENLOHR,F,BRA,Ozone Enzo 3 - Amarela Limao,Gin Genie Race 2,no momento nenhum,Carcará,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,903.0,796.0,235.0,950.2,103.1/392.1,937.3,520.6,4210.2
23,17563,RODOLFO PASCOAL LADEIRA,M,BRA,Ozone Zeno 2 - Azul,Woody Valley XR7,CSCVL,Carcará,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,899.4,795.0,116.7/444.7,935.7,42.4,935.3,484.4,4166.5
24,4719,LUIZ CEZAR DIAS,M,BRA,"Niviuk XOne - Vermelho, branco e preto",Gin Genie Race 5,Pousada e Consultoria Eliana,Paranauê,CVLG - CLUBE DE VOO LIVRE GAVIÃO,FPVL - FEDERAÇÃO PAULISTA DE VOO LIVRE,205.3,739.8,635.7,952.4,53.4/223.4,947.2,837.1,4165.6
25,46030,MAICON DANIEL DE SOUZA CORREA,M,BRA,Gin Boomerang 12 - Cinza,Sol CX Max,PRO ESPORTE RS/ FAMÍLIA GEISSE / @EQUIPEAGVLPARAPENTE/ @PROFITACADEMIANH/@CARTELSUNGLASS,,AGVL - ASSOCIAÇÃO GAÚCHA DE VOO LIVRE,FGVL - FEDERAÇÃO GAÚCHA DE VOO LIVRE,561.0,90.7/358.9,799.4,972.5,801.0,936.4,58.9,4161.0
26,15239,ROGERIO FELIX,M,BRA,Flow XCRacer 2 - Azul,Sol CX Max,UV.LINE,Equipe Flow XcRacer 2,CAAVL - CLUBE ASAS DO ALADIM VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,803.4,96.0/368.2,14.5,933.2,408.6,978.6,904.7,4124.5
27,23545,WALTER OLIVEIRA,M,BRA,Niviuk XOne - Azul,Ozone Submarine,Volcanfly,Niviuk Brasil,CPVL - CLUBE POÇOS-CALDENSE DE VOO LIVRE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,50.6/206.9,816.8,918.6,961.5,30.7,972.8,268.6,3988.9
28,51737,EMERSON AUGUSTO BUENO DE MIRANDA,M,BRA,Niviuk XOne - Azul,Ozone Submarine,K2 TRADING,,CSVL - CLUBE SANTARRITENSE DE VOO LIVRE,FPVL - FEDERAÇÃO PAULISTA DE VOO LIVRE,23.2/97.1,116.5,884.1,964.0,879.6,969.1,14.6,3836.5
29,52223,LUCAS BECKER AXELRUD,M,BRA,Ozone Zeno 2 - Amarelo,Kortel Kanibal Race 2,Pro Esporte / Família Geisse,,AGVL - ASSOCIAÇÃO GAÚCHA DE VOO LIVRE,FGVL - FEDERAÇÃO GAÚCHA DE VOO LIVRE,492.5,277.1,449.8,957.4,98.2/381.3,971.8,819.3,3789.0
30,54173,LOURIVAL FERREIRA DA SILVA FILHO,M,BRA,Ozone Zeno 2 - Verde/vemelho,Woody Valley XR7,Ventos do Cerrado Escola de Voo Livre,Termal Fly,AVLB - ASSOCIAÇÃO DE VOO LIVRE DE BRASÍLIA,FGVL - FEDERAÇÃO GOIANA DE VOO LIVRE,513.2,387.7,718.3,935.6,668.5,124.5/498.3,825.0,3785.1
